State,FIPS,DSCI,date
CA,06047,100,2000-01-04
CA,06047,100,2000-01-11
CA,06047,100,2000-01-18
CA,06047,37,2000-01-25
CA,06047,0,2000-02-01
CA,06047,0,2000-02-08
CA,06047,0,2000-02-15
CA,06047,0,2000-02-22
CA,06047,0,2000-02-29
CA,06047,0,2000-03-07
CA,06047,0,2000-03-14
CA,06047,0,2000-03-21
CA,06047,0,2000-03-28
CA,06047,0,2000-04-04
CA,06047,0,2000-04-11
CA,06047,0,2000-04-18
CA,06047,0,2000-04-25
CA,06047,0,2000-05-02
CA,06047,0,2000-05-09
CA,06047,0,2000-05-16
CA,06047,0,2000-05-23
CA,06047,0,2000-05-30
CA,06047,0,2000-06-06
CA,06047,0,2000-06-13
CA,06047,0,2000-06-20
CA,06047,0,2000-06-27
CA,06047,0,2000-07-04
CA,06047,0,2000-07-11
CA,06047,0,2000-07-18
CA,06047,0,2000-07-25
CA,06047,0,2000-08-01
CA,06047,0,2000-08-08
CA,06047,0,2000-08-15
CA,06047,0,2000-08-22
CA,06047,0,2000-08-29
CA,06047,0,2000-09-05
CA,06047,0,2000-09-12
CA,06047,0,2000-09-19
CA,06047,0,2000-09-26
CA,06047,0,2000-10-03
CA,06047,0,2000-10-10
CA,06047,0,2000-10-17
CA,06047,0,2000-10-24
CA,06047,0,2000-10-31
CA,06047,0,2000-11-07
CA,06047,0,2000-11-14
CA,06047,0,2000-11-21
CA,06047,0,2000-11-28
CA,06047,0,2000-12-05
CA,06047,0,2000-12-12
CA,06047,0,2000-12-19
CA,06047,0,2000-12-26
CA,06047,32,2001-01-02
CA,06047,0,2001-01-09
CA,06047,0,2001-01-16
CA,06047,0,2001-01-23
CA,06047,0,2001-01-30
CA,06047,0,2001-02-06
CA,06047,11,2001-02-13
CA,06047,11,2001-02-20
CA,06047,11,2001-02-27
CA,06047,11,2001-03-06
CA,06047,11,2001-03-13
CA,06047,11,2001-03-20
CA,06047,11,2001-03-27
CA,06047,12,2001-04-03
CA,06047,0,2001-04-10
CA,06047,0,2001-04-17
CA,06047,0,2001-04-24
CA,06047,0,2001-05-01
CA,06047,0,2001-05-08
CA,06047,13,2001-05-15
CA,06047,13,2001-05-22
CA,06047,13,2001-05-29
CA,06047,31,2001-06-05
CA,06047,31,2001-06-12
CA,06047,59,2001-06-19
CA,06047,59,2001-06-26
CA,06047,39,2001-07-03
CA,06047,0,2001-07-10
CA,06047,1,2001-07-17
CA,06047,19,2001-07-24
CA,06047,19,2001-07-31
CA,06047,19,2001-08-07
CA,06047,19,2001-08-14
CA,06047,34,2001-08-21
CA,06047,58,2001-08-28
CA,06047,58,2001-09-04
CA,06047,160,2001-09-11
CA,06047,160,2001-09-18
CA,06047,160,2001-09-25
CA,06047,160,2001-10-02
CA,06047,160,2001-10-09
CA,06047,160,2001-10-16
CA,06047,160,2001-10-23
CA,06047,160,2001-10-30
CA,06047,160,2001-11-06
CA,06047,160,2001-11-13
CA,06047,160,2001-11-20
CA,06047,154,2001-11-27
CA,06047,97,2001-12-04
CA,06047,87,2001-12-11
CA,06047,81,2001-12-18
CA,06047,1,2001-12-25
CA,06047,0,2002-01-01
CA,06047,0,2002-01-08
CA,06047,0,2002-01-15
CA,06047,0,2002-01-22
CA,06047,0,2002-01-29
CA,06047,0,2002-02-05
CA,06047,0,2002-02-12
CA,06047,0,2002-02-19
CA,06047,0,2002-02-26
CA,06047,0,2002-03-05
CA,06047,0,2002-03-12
CA,06047,0,2002-03-19
CA,06047,0,2002-03-26
CA,06047,0,2002-04-02
CA,06047,0,2002-04-09
CA,06047,0,2002-04-16
CA,06047,0,2002-04-23
CA,06047,0,2002-04-30
CA,06047,0,2002-05-07
CA,06047,0,2002-05-14
CA,06047,0,2002-05-21
CA,06047,100,2002-05-28
CA,06047,100,2002-06-04
CA,06047,100,2002-06-11
CA,06047,100,2002-06-18
CA,06047,100,2002-06-25
CA,06047,100,2002-07-02
CA,06047,100,2002-07-09
CA,06047,100,2002-07-16
CA,06047,100,2002-07-23
CA,06047,100,2002-07-30
CA,06047,100,2002-08-06
CA,06047,100,2002-08-13
CA,06047,100,2002-08-20
CA,06047,100,2002-08-27
CA,06047,100,2002-09-03
CA,06047,100,2002-09-10
CA,06047,100,2002-09-17
CA,06047,100,2002-09-24
CA,06047,100,2002-10-01
CA,06047,100,2002-10-08
CA,06047,100,2002-10-15
CA,06047,100,2002-10-22
CA,06047,100,2002-10-29
CA,06047,100,2002-11-05
CA,06047,100,2002-11-12
CA,06047,100,2002-11-19
CA,06047,100,2002-11-26
CA,06047,100,2002-12-03
CA,06047,100,2002-12-10
CA,06047,3,2002-12-17
CA,06047,0,2002-12-24
CA,06047,0,2002-12-31
CA,06047,0,2003-01-07
CA,06047,0,2003-01-14
CA,06047,0,2003-01-21
CA,06047,0,2003-01-28
CA,06047,0,2003-02-04
CA,06047,0,2003-02-11
CA,06047,0,2003-02-18
CA,06047,0,2003-02-25
CA,06047,0,2003-03-04
CA,06047,41,2003-03-11
CA,06047,34,2003-03-18
CA,06047,29,2003-03-25
CA,06047,100,2003-04-01
CA,06047,100,2003-04-08
CA,06047,0,2003-04-15
CA,06047,0,2003-04-22
CA,06047,0,2003-04-29
CA,06047,0,2003-05-06
CA,06047,0,2003-05-13
